OC,TH_LAT,TH_LONG,SURVEY_DATE
16.1,39.20055556,-4.141775625,2018-04-26 00:00:00
56.3,42.40743108,-3.336502693,2018-04-26 00:00:00
6.7,39.15830168,-4.179495278,2018-04-26 00:00:00
14.6,42.39286977,-3.308585979,2018-04-26 00:00:00
59.5,42.02932715,-8.063112139,2018-04-26 00:00:00
17.9,42.62483641,-3.212424551,2018-04-26 00:00:00
25.4,40.67462999,8.66963001,2018-04-26 00:00:00
14.3,35.16559632,25.99657432,2018-04-26 00:00:00
10.8,42.47042451,-3.548169696,2018-04-26 00:00:00
17.7,42.53975375,-3.440466327,2018-04-26 00:00:00
12.1,44.8915307,10.01263632,2018-04-26 00:00:00
30.7,42.34781837,-3.372382219,2018-04-26 00:00:00
8.9,37.25598606,14.17334042,2018-04-27 00:00:00
7.5,35.0325085,33.16695481,2018-04-27 00:00:00
7.9,39.35183555,-1.946416749,2018-04-27 00:00:00
16.6,41.89703804,0.304992486,2018-04-27 00:00:00
3.3,41.26088257,-6.120464809,2018-04-27 00:00:00
10.2,39.86408654,-2.938779875,2018-04-27 00:00:00
9.9,37.13098407,14.12115254,2018-04-27 00:00:00
8.8,40.31236526,-3.006640822,2018-04-27 00:00:00
10.3,37.074176,14.56474562,2018-04-27 00:00:00
13.4,40.27366847,-3.022461646,2018-04-27 00:00:00
16.8,56.37629015,23.03725334,2018-04-27 00:00:00
8.4,37.34165091,14.29063235,2018-04-27 00:00:00
15.2,41.9374714,0.347032304,2018-04-27 00:00:00
152.0,43.26003306,-8.500435638,2018-04-27 00:00:00
19.2,41.91725698,0.326005881,2018-04-27 00:00:00
5.5,39.32828815,-1.988858861,2018-04-27 00:00:00
6.4,42.05894601,-3.749237927,2018-04-27 00:00:00
11.0,37.29604327,14.48958917,2018-04-27 00:00:00
97.5,37.86537522,-1.544754769,2018-04-27 00:00:00
16.5,39.84865576,-3.053821289,2018-04-27 00:00:00
11.1,37.67746752,-4.738979337,2018-04-27 00:00:00
16.3,40.29371474,-3.14561631,2018-04-27 00:00:00
8.8,39.8548443,-3.007810487,2018-04-27 00:00:00
30.3,42.84615864,-6.430431384,2018-04-27 00:00:00
7.6,39.28053911,-7.7508278,2018-04-27 00:00:00
14.1,39.9647943,-3.006563448,2018-04-27 00:00:00
14.4,40.28526583,-3.072450324,2018-04-27 00:00:00
49.2,43.42137225,-5.583584593,2018-04-27 00:00:00
17.6,42.87299179,12.62401753,2018-04-27 00:00:00
13.9,37.7698361,-4.736115532,2018-04-27 00:00:00
57.0,43.4139018,-5.632050014,2018-04-27 00:00:00
8.7,39.23949994,-7.573255374,2018-04-27 00:00:00
7.6,37.16375788,14.59297566,2018-04-27 00:00:00
19.2,41.86122839,0.310710398,2018-04-27 00:00:00
9.6,40.2790401,-3.11875917,2018-04-27 00:00:00
5.5,38.8213733,-3.850001232,2018-04-27 00:00:00
12.3,42.02348407,-3.741103616,2018-04-27 00:00:00
21.5,43.12103955,12.04656002,2018-04-27 00:00:00
11.7,39.21522234,-7.8040254,2018-04-27 00:00:00
13.6,40.83711906,8.642594743,2018-04-28 00:00:00
10.2,39.35191646,-5.424010486,2018-04-28 00:00:00
16.9,37.89688287,21.43580891,2018-04-28 00:00:00
18.8,39.30030742,-3.834593362,2018-04-28 00:00:00
9.1,39.4135657,-3.811775948,2018-04-28 00:00:00
27.2,41.52445163,-6.852970121,2018-04-28 00:00:00
11.8,40.24419758,9.006040165,2018-04-28 00:00:00
14.0,37.70774894,-1.335657043,2018-04-28 00:00:00
11.8,37.79202638,-1.395338631,2018-04-28 00:00:00
23.4,40.76508345,8.667726213,2018-04-28 00:00:00
50.1,37.76599437,-1.459423568,2018-04-28 00:00:00
90.9,42.88378502,-1.708587375,2018-04-28 00:00:00
13.7,35.03902565,25.76881147,2018-04-28 00:00:00
28.0,42.86714733,-7.290385551,2018-04-28 00:00:00
20.1,55.82109874,26.67578447,2018-04-28 00:00:00
17.0,41.38388973,-4.252174734,2018-04-28 00:00:00
96.7,41.89422623,-8.19578408,2018-04-28 00:00:00
